,school_within_300,bus_stop_within_300,speedlimit,tb_latitude,tb_longitude,day_of_year,accident_year,distance,weather_1,collision_severity,type_of_collision,road_surface,road_cond_1,lighting,number_killed,number_injured,party1_type,party1_dir_of_travel,party1_move_pre_acc,party2_type,party2_dir_of_travel,party2_move_pre_acc,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,hour,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,CLUSTER_ID,accident
3613,0,0,50,37.77630015,-122.390025,314,2015,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,East,Proceeding Straight,Driver,North,Proceeding Straight,34,1,10,4,15,11.6,7.2,15.6,0.0,0.0,311.0,11.9,1023.0,146,1
3615,0,1,50,37.77925625,-122.4108801,172,2020,23,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,North,Entering Traffic,Driver,West,Proceeding Straight,32,1,10,34,16,16.1,12.8,22.8,0.0,,324.0,14.8,1015.0,380,1
3616,0,1,20,37.78237418,-122.4173765,074,2020,11,Cloudy,Injury (Severe),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,2,Driver,West,Making Left Turn,Pedestrian,South,Not Stated,20,5,10,36,20,11.3,9.4,12.2,11.7,,215.0,14.8,1014.4,408,1
3617,0,1,35,37.71317205,-122.4590244,058,2020,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,West,Proceeding Straight,Pedestrian,North,Proceeding Straight,81,10,1,24,18,15.4,9.4,24.4,0.0,0.0,346.0,5.0,1022.8,127,1
3618,0,1,25,37.80675808,-122.4121414,173,2021,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,North,Entering Traffic,Driver,West,Backing,99,6,3,23,17,20.2,17.8,24.4,0.0,,212.0,18.7,1012.4,322,1
3619,0,0,25,37.79678326,-122.4303706,230,2020,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,Construction or Repair Zone,Daylight,0,1,Driver,West,Proceeding Straight,Pedestrian,South,Proceeding Straight,15,4,6,13,9,20.6,16.7,27.8,0.3,,305.0,20.5,1013.6,234,1
3621,0,1,35,37.79097319,-122.4173913,063,2021,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Proceeding Straight,Pedestrian,East,Proceeding Straight,16,6,3,21,13,11.6,7.2,17.2,0.0,,260.0,9.4,1023.0,414,1
3622,0,1,25,37.7691138,-122.4348932,227,2020,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Proceeding Straight,Pedestrian,North,Proceeding Straight,28,7,5,3,10,23.6,16.7,37.2,0.0,,335.0,13.7,1011.3,264,1
3623,0,0,20,37.78796629,-122.418465,210,2020,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Making Right Turn,Pedestrian,West,Proceeding Straight,50,6,3,21,14,15.9,12.8,20.6,0.0,,303.0,24.1,1012.7,420,1
3625,1,1,30,37.7806076,-122.4389466,162,2020,9,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,West,Other,Driver,North,Proceeding Straight,13,4,11,39,9,17.7,12.8,25.6,0.0,,293.0,22.3,1016.8,231,1
3626,0,1,50,37.77766129,-122.4161496,068,2018,72,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,North,Proceeding Straight,Driver,West,Proceeding Straight,21,5,10,34,15,11.9,9.4,18.3,0.0,0.0,309.0,14.8,1016.4,345,1
3627,0,0,50,37.77157673,-122.4112755,067,2021,1,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,West,Making Left Turn,Pedestrian,West,Proceeding Straight,32,1,10,34,19,11.7,7.2,15.0,0.0,,221.0,18.0,1021.8,198,1
3628,0,0,20,37.78796629,-122.418465,054,2021,0,Clear,Injury (Severe),Sideswipe,Dry,No Unusual Condition,Daylight,0,1,Bicyclist,West,Proceeding Straight,Pedestrian,South,Proceeding Straight,50,6,3,21,14,15.2,10.0,24.4,0.0,,321.0,13.7,1020.2,420,1
3629,0,1,50,37.78047851,-122.4125123,108,2021,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Driver,East,Proceeding Straight,Pedestrian,South,Proceeding Straight,32,5,10,34,3,14.2,8.9,24.4,0.0,,311.0,18.7,1019.1,471,1
3630,1,0,25,37.75529478,-122.4209641,057,2021,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Making Right Turn,Pedestrian,South,Proceeding Straight,52,3,5,20,15,12.1,8.3,16.1,0.0,,289.0,26.6,1021.3,266,1
3631,0,1,25,37.79668021,-122.3953913,333,2017,6,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,East,Not Stated,Driver,North,Proceeding Straight,77,6,3,8,15,12.8,8.9,17.8,0.0,0.0,,5.8,1020.7,311,1
3633,1,1,25,37.76165316,-122.478062,259,2014,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Proceeding Straight,Pedestrian,North,Proceeding Straight,39,10,7,35,7,20.3,16.7,27.2,0.0,0.0,,15.5,1011.9,77,1
3635,0,1,25,37.79786642,-122.4066705,001,2020,1,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,West,Not Stated,Driver,South,Proceeding Straight,106,6,3,23,21,11.7,8.3,15.0,0.0,0.0,274.0,23.0,1020.4,388,1
3637,0,0,25,37.71697022,-122.4434313,358,2016,0,Cloudy,Injury (Other Visible),Sideswipe,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Proceeding Straight,Pedestrian,East,Proceeding Straight,80,9,1,28,15,10.3,8.3,13.9,15.7,0.0,239.0,17.6,1011.1,137,1
3638,0,1,50,37.76653958,-122.4220438,066,2014,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Making Left Turn,Pedestrian,East,Proceeding Straight,53,3,2,20,16,13.2,9.4,17.8,0.0,0.0,,16.9,1021.1,281,1
3639,0,1,25,37.76603712,-122.4775782,293,2021,63,Cloudy,Injury (Other Visible),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,North,Not Stated,Driver,East,Proceeding Straight,9,8,4,12,18,15.8,12.8,19.4,7.4,,158.0,13.3,1017.3,83,1
3640,0,1,50,37.78404444,-122.4037118,237,2020,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,South,Proceeding Straight,Driver,East,Making Right Turn,32,1,10,8,13,17.7,14.4,24.4,0.0,,301.0,19.1,1010.1,422,1
3642,1,0,35,37.71537905,-122.4353457,301,2021,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Proceeding Straight,Pedestrian,South,Proceeding Straight,90,9,1,7,8,17.0,13.9,23.9,0.0,,347.0,6.8,1020.0,66,1
3644,1,0,25,37.80105499,-122.4259964,146,2020,57,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,East,Other,Driver,East,Proceeding Straight,15,4,6,13,9,18.7,12.8,32.2,0.0,,311.0,15.8,1011.8,359,1
3646,1,0,50,37.77671309,-122.4178133,070,2020,110,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,West,Proceeding Straight,Bicyclist,South,Proceeding Straight,21,4,10,36,17,14.9,10.0,21.7,0.0,,38.0,8.6,1016.3,345,1
3647,0,1,25,37.79253218,-122.3975417,272,2021,65,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,South,Proceeding Straight,Driver,East,Backing,108,6,3,8,16,16.3,11.7,22.8,0.0,,311.0,14.4,1015.8,333,1
3648,1,1,30,37.78726185,-122.4467928,316,2020,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Proceeding Straight,Pedestrian,West,Not Stated,103,8,6,31,15,13.1,10.0,15.6,0.0,,316.0,11.2,1018.7,81,1
3650,0,1,50,37.74305815,-122.4052316,073,2020,4,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Proceeding Straight,Pedestrian,West,Proceeding Straight,85,2,2,1,7,13.1,8.3,17.2,0.0,,229.0,19.8,1008.3,134,1
3653,1,1,50,37.78300408,-122.4124117,268,2020,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dusk - Dawn,0,1,Pedestrian,North,Proceeding Straight,Driver,South,Proceeding Straight,20,5,10,36,18,19.6,16.1,26.1,0.0,,293.0,22.0,1016.9,463,1
3654,0,0,25,37.75383659,-122.4185939,043,2020,0,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,3,Driver,West,Making Right Turn,Pedestrian,North,Not Stated,53,3,2,20,16,13.6,8.3,18.9,0.0,0.0,323.0,11.2,1017.0,223,1
3656,0,1,25,37.76428959,-122.4322692,174,2020,3,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,North,Proceeding Straight,Driver,East,Proceeding Straight,38,3,5,5,17,16.9,12.8,24.4,0.0,,319.0,14.8,1013.5,182,1
3658,0,1,20,37.78258503,-122.4156939,063,2020,0,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Dusk - Dawn,0,2,Driver,South,Making Left Turn,Pedestrian,West,Proceeding Straight,20,5,10,36,6,16.3,10.0,23.9,0.0,0.0,291.0,10.1,1016.3,472,1
3660,0,1,15,37.71612607,-122.471572,240,2021,0,Clear,Injury (Other Visible),Sideswipe,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,South,Proceeding Straight,Pedestrian,West,Other,65,10,1,24,19,20.9,15.6,31.7,0.0,,318.0,14.8,1006.2,35,1
3661,0,0,65,37.72498509,-122.4430862,271,2021,6,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,North,Not Stated,Driver,East,Proceeding Straight,94,9,1,28,16,17.2,13.9,21.7,0.0,,292.0,24.5,1017.1,61,1
3662,0,1,50,37.7650378,-122.419893,127,2021,65,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Daylight,0,1,Pedestrian,South,Entering Traffic,Driver,West,Proceeding Straight,53,3,2,20,15,13.9,11.1,18.9,0.0,,277.0,30.6,1017.4,292,1
3663,0,1,35,37.73796587,-122.4069105,102,2021,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,South,Proceeding Straight,Pedestrian,East,Proceeding Straight,82,2,9,1,4,12.8,8.9,18.9,0.0,,301.0,17.3,1010.7,105,1
3665,0,1,15,37.76088893,-122.4350007,243,2018,0,Clear,Injury (Complaint of Pain),Sideswipe,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,East,Proceeding Straight,Driver,North,Stopped In Road,38,3,5,5,14,16.6,13.3,21.7,0.0,0.0,278.0,24.5,1016.0,188,1
3666,0,1,15,37.77208039,-122.4457167,161,2020,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Making Left Turn,Pedestrian,West,Proceeding Straight,24,7,11,12,17,17.1,11.1,27.8,0.0,,304.0,19.4,1020.3,121,1
3667,1,1,25,37.79690191,-122.4068277,274,2021,0,Clear,Injury (Severe),Broadside,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Proceeding Straight,Pedestrian,North,Proceeding Straight,104,6,3,6,12,18.8,13.3,26.7,0.0,,306.0,13.0,1014.3,375,1
3668,0,0,25,37.80776139,-122.4194107,019,2020,95,Clear,Injury (Complaint of Pain),Head-On,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Proceeding Straight,Pedestrian,East,Proceeding Straight,99,6,6,32,15,9.9,6.7,12.8,0.0,0.0,104.0,9.4,1020.4,277,1
3669,0,1,25,37.7653453,-122.4794142,097,2021,5,Cloudy,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Proceeding Straight,Pedestrian,South,Not Stated,39,10,7,35,10,12.1,10.0,15.0,0.0,,279.0,26.6,1021.9,83,1
3670,0,1,25,37.79325635,-122.396302,196,2021,0,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,West,Proceeding Straight,Driver,North,Proceeding Straight,108,6,10,8,4,15.4,12.2,18.3,0.0,,271.0,24.5,1015.5,327,1
3671,0,1,50,37.78071918,-122.4153156,273,2020,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,West,Proceeding Straight,Pedestrian,North,Proceeding Straight,21,5,10,36,3,18.0,13.9,35.0,0.0,,302.0,21.6,1015.8,412,1
3672,0,0,50,37.77973891,-122.4071595,043,2020,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,West,Proceeding Straight,Driver,North,Making Right Turn,32,1,10,34,12,13.6,8.3,18.9,0.0,0.0,323.0,11.2,1017.0,453,1
3674,0,0,65,37.728722,-122.434581,356,2020,6,Clear,Injury (Severe),Sideswipe,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Proceeding Straight,Pedestrian,East,Other,94,9,1,28,14,10.4,6.1,14.4,0.0,,341.0,8.3,1018.9,132,1
3675,1,1,25,37.77999354,-122.486878,052,2020,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,South,Making Left Turn,Pedestrian,North,Proceeding Straight,8,8,4,29,21,13.9,9.4,21.1,0.0,0.0,335.0,7.9,1017.1,112,1
3677,0,1,20,37.78931985,-122.4153719,352,2020,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,South,Proceeding Straight,Driver,East,Proceeding Straight,50,6,3,21,23,13.2,8.9,14.4,11.2,,290.0,23.4,1018.0,360,1
3678,1,1,25,37.79349462,-122.4077903,262,2015,117,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,West,Other,Driver,South,Proceeding Straight,104,6,3,6,10,18.2,12.8,29.4,0.0,0.0,,10.4,1010.5,355,1
3680,0,1,50,37.77633298,-122.3940351,337,2020,0,Clear,Injury (Severe),Sideswipe,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,North,Proceeding Straight,Driver,West,Proceeding Straight,34,1,10,4,14,11.6,6.7,18.9,0.0,,311.0,7.6,1019.7,155,1
3682,0,1,25,37.76351674,-122.4781459,305,2020,13,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Making Left Turn,Pedestrian,North,Proceeding Straight,39,10,7,35,9,13.9,8.3,24.4,0.0,,313.0,9.4,1018.2,82,1
3683,0,0,50,37.78528292,-122.4094975,002,2021,0,Cloudy,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Driver,South,Making Left Turn,Pedestrian,West,Proceeding Straight,20,5,10,36,6,10.8,10.0,12.2,4.8,,40.0,4.7,1023.8,451,1
3684,0,1,50,37.73016461,-122.3989705,289,2020,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dusk - Dawn,0,1,Pedestrian,North,Proceeding Straight,Driver,West,Entering Traffic,86,2,9,1,8,23.6,16.7,32.8,0.0,,345.0,6.1,1015.0,21,1
3686,0,0,50,37.78149951,-122.4049333,323,2020,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,South,Making Left Turn,Pedestrian,East,Other,32,1,10,34,18,15.2,9.4,18.3,3.3,,215.0,11.9,1017.6,423,1
3688,0,1,50,37.7834124,-122.4073362,025,2020,60,Cloudy,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,East,Other,Driver,South,Proceeding Straight,32,5,10,34,11,13.3,8.9,16.7,0.0,0.0,24.0,7.9,1020.3,458,1
3689,0,1,25,37.74456304,-122.4205537,146,2021,215,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,West,Crossed Into Opposing Lane,Driver,North,Proceeding Straight,83,9,2,2,18,14.7,11.1,18.9,0.0,,291.0,23.8,1017.5,214,1
3690,0,0,35,37.77739888,-122.4568873,340,2020,7,Cloudy,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,West,Proceeding Straight,Pedestrian,South,Not Stated,12,8,4,18,17,11.6,6.7,16.1,0.0,,321.0,7.2,1024.0,110,1
3691,0,1,25,37.72308551,-122.4523374,246,2014,3,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,West,Proceeding Straight,Driver,West,Proceeding Straight,71,10,8,24,16,18.2,15.6,24.4,0.0,0.0,,13.7,1007.7,130,1
3692,0,1,50,37.732122,-122.4054701,149,2020,122,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,North,Entering Traffic,Driver,North,Proceeding Straight,91,2,2,25,20,15.1,11.1,19.4,0.0,,296.0,24.1,1012.4,40,1
3693,0,1,25,37.75414577,-122.4786157,013,2014,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Making Left Turn,Pedestrian,North,Proceeding Straight,39,10,7,35,8,12.8,5.6,19.4,0.0,0.0,12.0,4.3,1029.2,78,1
3694,1,1,50,37.77273431,-122.4255121,064,2020,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,South,Proceeding Straight,Pedestrian,West,Other,26,4,11,9,18,14.6,9.4,23.3,0.0,0.0,321.0,8.3,1017.7,256,1
3695,0,1,20,37.78331089,-122.4175288,215,2016,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Making Left Turn,Pedestrian,North,Proceeding Straight,20,5,10,36,9,16.5,13.3,20.6,0.0,0.0,298.0,19.8,1015.5,410,1
3697,1,1,55,37.72023091,-122.396617,355,2020,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Making Right Turn,Pedestrian,South,Not Stated,88,2,9,1,13,10.4,5.6,16.7,0.0,,15.0,4.0,1025.4,16,1
3698,1,1,25,37.79491902,-122.4080748,233,2014,8,Clear,Injury (Complaint of Pain),Broadside,Dry,Obstruction on Roadway,Daylight,0,1,Driver,South,Proceeding Straight,Pedestrian,East,Proceeding Straight,104,6,3,6,15,18.8,16.1,23.3,0.0,0.0,,16.6,1013.5,367,1
3700,0,1,15,37.76979785,-122.4485788,261,2020,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Making Left Turn,Pedestrian,South,Proceeding Straight,25,7,11,3,17,19.3,16.1,22.8,0.0,,307.0,17.3,1014.8,129,1
3703,0,1,25,37.72341779,-122.45405,224,2017,25,Cloudy,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Making Right Turn,Pedestrian,South,Proceeding Straight,64,10,8,41,15,17.8,15.6,22.8,0.0,0.0,267.0,22.7,1013.7,131,1
3704,1,0,50,37.77193794,-122.4234139,198,2014,20,Fog,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,North,Other,Driver,South,Not Stated,26,1,5,20,21,19.7,17.2,23.3,0.0,0.0,277.0,16.6,1015.5,302,1
3706,1,0,25,37.7732478,-122.4289901,093,2018,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Proceeding Straight,Pedestrian,East,Proceeding Straight,26,4,11,9,20,12.8,8.9,18.3,0.0,0.0,284.0,16.2,1015.4,261,1
3707,0,0,25,37.74878633,-122.4225675,276,2020,5,Clear,Injury (Severe),Broadside,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,West,Proceeding Straight,Driver,North,Proceeding Straight,53,3,5,20,23,21.8,14.4,31.1,0.0,,314.0,11.9,1014.0,184,1
3708,0,1,25,37.77256906,-122.4841942,347,2020,0,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,North,Not Stated,Driver,North,Proceeding Straight,9,8,4,12,18,13.4,10.6,15.6,0.5,,332.0,18.4,1019.9,90,1
3709,0,1,25,37.79923152,-122.4086414,060,2021,143,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,South,Other,Driver,North,Proceeding Straight,106,6,3,23,18,12.9,7.2,20.6,0.0,,318.0,9.7,1019.4,382,1
3710,0,0,50,37.77089611,-122.4149967,350,2014,0,Raining,Injury (Other Visible),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,North,Proceeding Straight,Driver,West,Proceeding Straight,32,1,10,20,17,12.7,10.0,17.2,21.3,0.0,137.0,14.0,1012.4,192,1
3711,0,1,35,37.71645955,-122.4410196,021,2020,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,North,Proceeding Straight,Driver,East,Making Right Turn,80,9,1,28,22,12.3,10.0,14.4,0.3,0.0,145.0,14.4,1019.7,156,1
3712,0,0,50,37.78853593,-122.3960348,208,2020,0,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Making Left Turn,Pedestrian,East,Proceeding Straight,32,1,10,8,16,17.7,14.4,21.7,0.0,,314.0,19.4,1013.4,319,1
3714,0,1,55,37.72573529,-122.4028099,352,2020,192,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Daylight,0,1,Pedestrian,East,Other,Driver,North,Backing,91,2,2,25,13,13.2,8.9,14.4,11.2,,290.0,23.4,1018.0,24,1
3716,0,1,50,37.75616698,-122.4066358,063,2020,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Making Left Turn,Pedestrian,West,Proceeding Straight,53,3,2,20,15,16.3,10.0,23.9,0.0,0.0,291.0,10.1,1016.3,171,1
3717,0,1,50,37.78554213,-122.3967052,127,2021,0,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,East,Proceeding Straight,Pedestrian,North,Proceeding Straight,32,1,10,8,23,13.9,11.1,18.9,0.0,,277.0,30.6,1017.4,298,1
3718,0,1,50,37.76483924,-122.401599,153,2021,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Bicyclist,East,Proceeding Straight,Pedestrian,South,Stopped,54,1,9,4,12,14.8,11.7,19.4,0.0,,294.0,22.3,1012.8,194,1
3719,1,1,15,37.77021017,-122.445345,353,2013,0,Clear,Injury (Other Visible),Head-On,Dry,No Unusual Condition,Dark - No Street Lights,0,2,Pedestrian,East,Proceeding Straight,Pedestrian,East,Proceeding Straight,25,7,11,3,19,11.2,8.3,15.0,0.0,0.0,303.0,19.1,1009.7,124,1
3720,0,1,25,37.75844459,-122.46592,034,2018,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Making Left Turn,Pedestrian,North,Proceeding Straight,109,10,8,14,9,16.4,10.0,24.4,0.0,0.0,,7.6,1020.0,76,1
3721,0,1,25,37.7806685,-122.4707125,011,2021,20,Clear,Injury (Complaint of Pain),Broadside,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Making Left Turn,Pedestrian,West,Proceeding Straight,5,8,4,11,7,11.2,7.2,16.1,0.0,,356.0,7.6,1024.0,116,1
3722,0,1,25,37.75227137,-122.4178769,054,2014,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Backing,Pedestrian,West,Other,53,3,2,20,17,10.9,7.8,17.2,0.0,0.0,,12.2,1015.6,224,1
3723,0,0,25,37.77147949,-122.435373,256,2020,0,Clear,Injury (Complaint of Pain),Broadside,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,East,Proceeding Straight,Driver,North,Proceeding Straight,26,4,11,3,15,16.5,12.8,24.4,0.0,,317.0,16.2,1013.0,241,1
3724,0,0,20,37.7782064,-122.4199006,192,2020,17,Clear,Fatal,Vehicle/Pedestrian,Dry,Construction or Repair Zone,Dark - Street Lights,1,0,Pedestrian,West,Not Stated,Driver,South,Proceeding Straight,21,4,10,36,21,15.8,11.1,22.8,0.0,,307.0,25.6,1015.4,328,1
3725,0,0,35,37.71535049,-122.4510786,061,2020,554,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,West,Proceeding Straight,Driver,South,Proceeding Straight,81,10,1,24,20,10.4,6.7,15.6,0.0,0.0,324.0,19.1,1015.4,64,1
3727,1,1,25,37.74176468,-122.5046204,090,2020,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dusk - Dawn,0,1,Pedestrian,West,Stopped,Driver,West,Proceeding Straight,39,10,7,35,19,13.0,9.4,17.2,0.0,,274.0,11.2,1025.3,47,1
3728,0,1,15,37.77208039,-122.4457167,227,2014,0,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,West,Proceeding Straight,Driver,South,Proceeding Straight,24,7,11,12,20,18.4,15.6,23.3,0.0,0.0,165.0,17.3,1014.9,121,1
3732,0,0,50,37.77480878,-122.4009816,042,2020,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Making Right Turn,Pedestrian,North,Proceeding Straight,32,1,10,34,15,14.8,8.9,23.3,0.0,0.0,308.0,6.5,1017.6,160,1
3733,0,0,65,37.7269401,-122.4414374,145,2021,0,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,West,Proceeding Straight,Driver,South,Proceeding Straight,94,9,1,28,18,15.1,12.2,18.3,0.0,,277.0,30.2,1018.6,61,1
