,id,unique_id,cnn_intrsctn_fkey,cnn_sgmt_fkey,case_id_pkey,tb_latitude,tb_longitude,geocode_source,geocode_location,collision_datetime,collision_date,collision_time,accident_year,month,day_of_week,primary_rd,secondary_rd,distance,weather_1,collision_severity,type_of_collision,mviw,ped_action,road_surface,road_cond_1,lighting,intersection,number_killed,number_injured,party_at_fault,party1_type,party1_dir_of_travel,party1_move_pre_acc,party2_type,party2_dir_of_travel,party2_move_pre_acc,point,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,hour
21622,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_11,53086,24315000.0,9100000.0,200371237,37.7792562548,-122.41088014,SFPD-INTERIM DB,CITY STREET,06/20/2020 04:19:00 PM,2020 June 20,16:19:00,2020,June,Saturday,MISSION ST,07TH ST,23.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk Not at Intersection,Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Pedestrian,North,Entering Traffic,Driver,West,Proceeding Straight,POINT (-122.41088 37.779255),32.0,1.0,10.0,34.0,16
21633,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-1cb,52571,25147000.0,12722000.0,200189240,37.7823741784,-122.41737648,SFPD-INTERIM DB,CITY STREET,03/14/2020 08:33:00 PM,2020 March 14,20:33:00,2020,March,Saturday,TURK ST,LARKIN ST,11.0,Cloudy,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,2,1.0,Driver,West,Making Left Turn,Pedestrian,South,Not Stated,POINT (-122.41737 37.782375),20.0,5.0,10.0,36.0,20
21638,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-24f,52374,22476000.0,,200148280,37.7131720491,-122.459024435,SFPD-INTERIM DB,CITY STREET,02/27/2020 06:15:00 PM,2020 February 27,18:15:00,2020,February,Thursday,BROAD ST,CAPITOL AVE,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,West,Proceeding Straight,Pedestrian,North,Proceeding Straight,POINT (-122.45902 37.713173),81.0,10.0,1.0,24.0,18
21651,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_cd3,55310,25480000.0,,210390879,37.8067580833,-122.412141424,SFPD-INTERIM DB,CITY STREET,06/22/2021 05:37:00 PM,2021 June 22,17:37:00,2021,June,Tuesday,NORTH POINT ST,POWELL ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,North,Entering Traffic,Driver,West,Backing,POINT (-122.41214 37.80676),99.0,6.0,3.0,23.0,17
21654,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_163,53404,26580000.0,,200494055,37.7967832611,-122.43037057,SFPD-INTERIM DB,CITY STREET,08/17/2020 09:43:00 AM,2020 August 17,09:43:00,2020,August,Monday,GREEN ST,LAGUNA ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,Construction or Repair Zone,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,West,Proceeding Straight,Pedestrian,South,Proceeding Straight,POINT (-122.430374 37.796783),15.0,4.0,6.0,13.0,09
21662,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_8ee,54839,27451000.0,7540000.0,210083745,37.7714975814,-122.474599139,SFPD-INTERIM DB,CITY STREET,02/06/2021 10:21:00 AM,2021 February 06,10:21:00,2021,February,Saturday,JOHN F KENNEDY DR,STOW LAKE DR,300.0,Clear,Injury (Severe),Rear End,Pedestrian,"In Road, Including Shoulder",Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,2,1.0,Bicyclist,West,Proceeding Straight,Pedestrian,West,Not Stated,POINT (-122.4746 37.771496),9.0,8.0,4.0,12.0,10
21668,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_9a5,54754,25252000.0,,210142385,37.7909731916,-122.417391336,SFPD-INTERIM DB,CITY STREET,03/04/2021 01:49:00 PM,2021 March 04,13:49:00,2021,March,Thursday,HYDE ST,CALIFORNIA ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,South,Proceeding Straight,Pedestrian,East,Proceeding Straight,POINT (-122.41739 37.790974),16.0,6.0,3.0,21.0,13
21670,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_14d,53505,26006000.0,,200487680,37.7691137983,-122.434893192,SFPD-INTERIM DB,CITY STREET,08/14/2020 10:41:00 AM,2020 August 14,10:41:00,2020,August,Friday,DUBOCE AVE,SCOTT ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,East,Proceeding Straight,Pedestrian,North,Proceeding Straight,POINT (-122.43489 37.769115),28.0,7.0,5.0,3.0,10
21677,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_df,53301,25202000.0,,200451522,37.7879662861,-122.418465027,SFPD-INTERIM DB,CITY STREET,07/28/2020 02:02:00 PM,2020 July 28,14:02:00,2020,July,Tuesday,LARKIN ST,SUTTER ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,North,Making Right Turn,Pedestrian,West,Proceeding Straight,POINT (-122.418465 37.787968),50.0,6.0,3.0,21.0,14
21687,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_90c,54801,34171000.0,,210092984,37.771009192,-122.391199349,SFPD-INTERIM DB,CITY STREET,02/10/2021 04:27:00 PM,2021 February 10,16:27:00,2021,February,Wednesday,MISSION BAY BLVD NORTH,04TH ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,West,Making Left Turn,Pedestrian,East,Not Stated,POINT (-122.3912 37.771008),34.0,1.0,10.0,4.0,16
21696,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-34,53035,26076000.0,4809101.0,200350021,37.7806075972,-122.438946575,SFPD-INTERIM DB,CITY STREET,06/10/2020 09:18:00 AM,2020 June 10,09:18:00,2020,June,Wednesday,DIVISADERO ST,EDDY ST,9.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,,Pedestrian,West,Other,Driver,North,Proceeding Straight,POINT (-122.43895 37.78061),13.0,4.0,11.0,39.0,09
21704,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_585,15959,30743000.0,8752202.0,180181910,37.7776612933,-122.416149637,SFPD-INTERIM DB,CITY STREET,03/09/2018 03:56:00 PM,2018 March 09,15:56:00,2018,March,Friday,MARKET ST,09TH ST,72.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Pedestrian,North,Proceeding Straight,Driver,West,Proceeding Straight,POINT (-122.41615 37.77766),21.0,5.0,10.0,34.0,15
21705,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_9c5,54591,24206000.0,490000.0,210151273,37.7715767302,-122.411275497,SFPD-INTERIM DB,CITY STREET,03/08/2021 07:27:00 PM,2021 March 08,19:27:00,2021,March,Monday,10TH ST,HARRISON ST,1.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,West,Making Left Turn,Pedestrian,West,Proceeding Straight,POINT (-122.41128 37.771576),32.0,1.0,10.0,34.0,19
21718,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_972,54577,25202000.0,,210122042,37.7879662861,-122.418465027,SFPD-INTERIM DB,CITY STREET,02/23/2021 02:06:00 PM,2021 February 23,14:06:00,2021,February,Tuesday,SUTTER ST,LARKIN ST,0.0,Clear,Injury (Severe),Sideswipe,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Bicyclist,West,Proceeding Straight,Pedestrian,South,Proceeding Straight,POINT (-122.418465 37.787968),50.0,6.0,3.0,21.0,14
21722,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_acd,55495,30742000.0,,210237340,37.7804785115,-122.412512255,SFPD-INTERIM DB,CITY STREET,04/18/2021 03:25:00 AM,2021 April 18,03:25:00,2021,April,Sunday,MARKET ST,07TH ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Wet,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,East,Proceeding Straight,Pedestrian,South,Proceeding Straight,POINT (-122.41251 37.78048),32.0,5.0,10.0,34.0,03
21726,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_983,54740,24115000.000000004,,210129173,37.7552947832,-122.420964093,SFPD-INTERIM DB,CITY STREET,02/26/2021 03:50:00 PM,2021 February 26,15:50:00,2021,February,Friday,VALENCIA ST,22ND ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,East,Making Right Turn,Pedestrian,South,Proceeding Straight,POINT (-122.42097 37.755295),52.0,3.0,5.0,20.0,15
21753,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_838,33117,24572000.0,12553201.0,170969334,37.7966802132048,-122.395391294719,SFPD-CROSSROADS,CITY STREET,11/29/2017 03:57:00 PM,2017 November 29,15:57:00,2017,November,Wednesday,THE EMBARCADERO,WASHINGTON ST,6.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,East,Not Stated,Driver,North,Proceeding Straight,POINT (-122.39539 37.79668),77.0,6.0,3.0,8.0,15
21757,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_3d7,54173,26567000.0,,200686478,37.7943975488,-122.426514001,SFPD-INTERIM DB,CITY STREET,11/13/2020 03:48:00 PM,2020 November 13,15:48:00,2020,November,Friday,GOUGH ST,PACIFIC AVE,0.0,Raining,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,West,Proceeding Straight,Driver,North,Proceeding Straight,POINT (-122.42651 37.7944),102.0,4.0,6.0,30.0,15
21758,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_d85,40938,27369000.0,,140779793,37.761653158029,-122.478061976761,SFPD-CROSSROADS,CITY STREET,09/16/2014 07:25:00 AM,2014 September 16,07:25:00,2014,September,Tuesday,JUDAH ST,20TH AVE,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,East,Proceeding Straight,Pedestrian,North,Proceeding Straight,POINT (-122.478065 37.761654),39.0,10.0,7.0,35.0,07
21763,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_ce,53287,20556000.0,,200445149,37.7179063099,-122.400131476,SFPD-INTERIM DB,CITY STREET,07/23/2020 12:50:00 PM,2020 July 23,12:50:00,2020,July,Thursday,SAN BRUNO AVE,HARKNESS AVE,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,North,Making Left Turn,Pedestrian,West,Other,POINT (-122.40013 37.717907),91.0,9.0,9.0,25.0,12
21768,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-51c,52040,25321000.0,4292000.0,200002545,37.7978664209,-122.406670541,SFPD-INTERIM DB,CITY STREET,01/01/2020 09:41:00 PM,2020 January 01,21:41:00,2020,January,Wednesday,COLUMBUS AVE,BROADWAY,1.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Pedestrian,West,Not Stated,Driver,South,Proceeding Straight,POINT (-122.40667 37.797867),106.0,6.0,3.0,23.0,21
21784,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_228,53807,25671000.0,,200563252,37.7583645487,-122.423488531,SFPD-INTERIM DB,CITY STREET,09/18/2020 04:30:00 PM,2020 September 18,16:30:00,2020,September,Friday,GUERRERO ST,20TH ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,South,Making Left Turn,Pedestrian,East,Proceeding Straight,POINT (-122.423485 37.758366),37.0,3.0,5.0,20.0,16
21789,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_626,1788,21487000.0,,161059936,37.7169702217552,-122.443431268584,SFPD-CROSSROADS,CITY STREET,12/23/2016 03:41:00 PM,2016 December 23,15:41:00,2016,December,Friday,ALEMANY BLVD,NIAGARA AVE,0.0,Cloudy,Injury (Other Visible),Sideswipe,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,,Driver,South,Proceeding Straight,Pedestrian,East,Proceeding Straight,POINT (-122.44343 37.71697),80.0,9.0,1.0,28.0,15
21792,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-569,12326,24377000.0,,140196852,37.7665395759103,-122.422043813584,SFPD-CROSSROADS,CITY STREET,03/07/2014 04:19:00 PM,2014 March 07,16:19:00,2014,March,Friday,VALENCIA ST,15TH ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,South,Making Left Turn,Pedestrian,East,Proceeding Straight,POINT (-122.42204 37.76654),53.0,3.0,2.0,20.0,16
21794,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_fdc,56458,27441000.0,11990000.0,210688812,37.7660371243645,-122.477578198024,SFPD-INTERIM DB,CITY STREET,10/20/2021 06:55:00 PM,2021 October 20,18:55:00,2021,October,Wednesday,MARTIN LUTHER KING JR DR,CROSSOVER DR,63.0,Cloudy,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Wet,No Unusual Condition,Dark - Street Lights,Midblock > 20ft,0.0,1,1.0,Pedestrian,North,Not Stated,Driver,East,Proceeding Straight,POINT (-122.47758 37.766037),9.0,8.0,4.0,12.0,18
21834,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_196,53439,24631000.0,,200509604,37.784044438,-122.403711753,SFPD-INTERIM DB,CITY STREET,08/24/2020 01:36:00 PM,2020 August 24,13:36:00,2020,August,Monday,MINNA ST,04TH ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,South,Proceeding Straight,Driver,East,Making Right Turn,POINT (-122.40371 37.784046),32.0,1.0,10.0,8.0,13
21855,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_ed4,19876,26345000.0,8852000.0,180097464,37.7722627416,-122.445753672,SFPD-INTERIM DB,CITY STREET,02/05/2018 09:26:00 PM,2018 February 05,21:26:00,2018,February,Monday,MASONIC AVE,OAK ST,67.0,Clear,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Dark - Street Lights,Midblock > 20ft,0.0,2,1.0,Pedestrian,East,Proceeding Straight,Pedestrian,East,Proceeding Straight,POINT (-122.445755 37.772263),24.0,7.0,11.0,12.0,21
21857,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_ff6,56773,21412000.0,,210706113,37.7153790503357,-122.435345700697,SFPD-INTERIM DB,CITY STREET,10/28/2021 08:00:00 AM,2021 October 28,08:00:00,2021,October,Thursday,NAPLES ST,AMAZON AVE,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,East,Proceeding Straight,Pedestrian,South,Proceeding Straight,POINT (-122.43535 37.715378),90.0,9.0,1.0,7.0,08
21870,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_315,53985,25311000.0,,200635986,37.7982645792,-122.418859875,SFPD-INTERIM DB,CITY STREET,10/21/2020 04:44:00 PM,2020 October 21,16:44:00,2020,October,Wednesday,HYDE ST,GREEN ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,West,Proceeding Straight,Pedestrian,North,Proceeding Straight,POINT (-122.41886 37.798264),107.0,6.0,3.0,32.0,16
21880,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-88,53162,26699000.0,8453101.0,200320927,37.8010549908,-122.425996388,SFPD-INTERIM DB,CITY STREET,05/25/2020 09:56:00 AM,2020 May 25,09:56:00,2020,May,Monday,LOMBARD ST,FRANKLIN ST,57.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Pedestrian,East,Other,Driver,East,Proceeding Straight,POINT (-122.425995 37.801056),15.0,4.0,6.0,13.0,09
21885,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_108c,56979,22585000.0,9821101.0,210844525,37.7238059773177,-122.455903042846,SFPD-INTERIM DB,CITY STREET,12/22/2021 05:48:00 AM,2021 December 22,05:48:00,2021,December,Wednesday,OCEAN AVE,PLYMOUTH AVE,80.0,Raining,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Wet,No Unusual Condition,Dark - Street Lights,Midblock > 20ft,0.0,1,,Driver,West,Proceeding Straight,Pedestrian,South,Other,POINT (-122.4559 37.723804),64.0,10.0,8.0,24.0,05
21888,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-1e4,52474,30746000.000000004,10546000.0,200178663,37.7767130877,-122.417813298,SFPD-INTERIM DB,CITY STREET,03/10/2020 05:23:00 PM,2020 March 10,17:23:00,2020,March,Tuesday,POLK ST,MARKET ST,110.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Pedestrian,West,Proceeding Straight,Bicyclist,South,Proceeding Straight,POINT (-122.417816 37.776714),21.0,4.0,10.0,36.0,17
21893,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_f16,55984,30729000.000000004,10453000.0,210633710,37.7925321839,-122.397541744,SFPD-INTERIM DB,CITY STREET,09/29/2021 04:30:00 PM,2021 September 29,16:30:00,2021,September,Wednesday,PINE ST,DAVIS ST,65.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Pedestrian,South,Proceeding Straight,Driver,East,Backing,POINT (-122.397545 37.792534),108.0,6.0,3.0,8.0,16
21901,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_3c6,54158,26846000.0,,200681713,37.7872618536,-122.44679278,SFPD-INTERIM DB,CITY STREET,11/11/2020 03:20:00 PM,2020 November 11,15:20:00,2020,November,Wednesday,PRESIDIO AVE,CALIFORNIA ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,South,Proceeding Straight,Pedestrian,West,Not Stated,POINT (-122.44679 37.787262),103.0,8.0,6.0,31.0,15
21902,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_e0e,56156,20755000.0,,210539265,37.7396591213,-122.400899014,SFPD-INTERIM DB,CITY STREET,08/23/2021 10:56:00 AM,2021 August 23,10:56:00,2021,August,Monday,PALOU AVE,INDUSTRIAL ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,2,1.0,Driver,West,Backing,Pedestrian,West,Stopped,POINT (-122.4009 37.73966),82.0,2.0,9.0,1.0,10
21907,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-1d2,52485,20816000.0,2799106.0,200185050,37.7430581532,-122.405231633,SFPD-INTERIM DB,CITY STREET,03/13/2020 07:12:00 AM,2020 March 13,07:12:00,2020,March,Friday,BAY SHORE BLVD,OAKDALE AVE,4.0,Clear,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,South,Proceeding Straight,Pedestrian,West,Proceeding Straight,POINT (-122.405235 37.743057),85.0,2.0,2.0,1.0,07
21912,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_2af,53880,26011000.000000004,,200607747,37.7703428968,-122.436848942,SFPD-INTERIM DB,CITY STREET,10/08/2020 07:46:00 PM,2020 October 08,19:46:00,2020,October,Thursday,CASTRO ST,DIVISADERO ST,0.0,Clear,Injury (Severe),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,,Pedestrian,South,Other,Driver,South,Making Left Turn,POINT (-122.43685 37.770344),112.0,7.0,11.0,3.0,19
21914,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_107d,56980,27504000.0,904000.0,210819722,37.7805237442827,-122.478315133485,SFPD-INTERIM DB,CITY STREET,12/11/2021 05:35:00 PM,2021 December 11,17:35:00,2021,December,Saturday,19TH AVE,GEARY BLVD,52.0,Cloudy,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",Wet,No Unusual Condition,Dark - Street Lights,Midblock > 20ft,0.0,1,1.0,Pedestrian,East,Not Stated,Driver,South,Backing,POINT (-122.47832 37.780525),8.0,8.0,4.0,29.0,17
21930,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_248,53595,24923000.0,,200576528,37.7830040784,-122.412411747,SFPD-INTERIM DB,CITY STREET,09/24/2020 06:10:00 PM,2020 September 24,18:10:00,2020,September,Thursday,TURK ST,JONES ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dusk - Dawn,Intersection <= 20ft,0.0,1,1.0,Pedestrian,North,Proceeding Straight,Driver,South,Proceeding Straight,POINT (-122.412415 37.783005),20.0,5.0,10.0,36.0,18
21933,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-2e9,52245,24094000.000000004,,200108444,37.7538365883,-122.418593945,SFPD-INTERIM DB,CITY STREET,02/12/2020 04:19:00 PM,2020 February 12,16:19:00,2020,February,Wednesday,MISSION ST,23RD ST,0.0,Clear,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,3,1.0,Driver,West,Making Right Turn,Pedestrian,North,Not Stated,POINT (-122.418594 37.753838),53.0,3.0,2.0,20.0,16
21969,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_bda,55569,26046000.0,,210317237,37.7784224761,-122.433407336,SFPD-INTERIM DB,CITY STREET,05/23/2021 02:45:00 PM,2021 May 23,14:45:00,2021,May,Sunday,MCALLISTER ST,STEINER ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,West,Proceeding Straight,Pedestrian,West,Proceeding Straight,POINT (-122.43341 37.778423),23.0,4.0,11.0,39.0,14
21979,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_1d,53078,25800000.0,744000.0,200375079,37.7642895917,-122.432269173,SFPD-INTERIM DB,CITY STREET,06/22/2020 05:15:00 PM,2020 June 22,17:15:00,2020,June,Monday,JOSE SARRIA CT,POND ST,3.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,North,Proceeding Straight,Driver,East,Proceeding Straight,POINT (-122.43227 37.76429),38.0,3.0,5.0,5.0,17
21983,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_389,54097,20573000.0,11385000.0,200662434,37.7212949869,-122.400971758,SFPD-INTERIM DB,CITY STREET,11/02/2020 07:56:00 PM,2020 November 02,19:56:00,2020,November,Monday,SAN BRUNO AVE,MANSELL ST,92.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",Dry,No Unusual Condition,Dusk - Dawn,Midblock > 20ft,0.0,1,1.0,Pedestrian,East,Entering Traffic,Driver,South,Proceeding Straight,POINT (-122.40097 37.721294),91.0,9.0,9.0,25.0,19
